set output "plot4.txt"

set xlabel 'Time (s)'
set ylabel 'rxPower (dBm)'
set key center right
splot "-"  title "txPower 20dBm", -94.0 title "-94 dBm CSThreshold"
0.376 17.2527 18.579
0.377 13.6867 19.6905
0.378 17.7996 15.2413
0.379 25.0055 0.50084
0.38 25.4137 25.4297
0.381 19.9495 13.6424
0.382 18.1103 13.0173
0.383 20.038 19.3284
0.384 21.6925 18.3861
0.385 19.4536 18.7144
0.386 10.9269 24.3273
0.387 13.8743 18.358
0.388 12.6211 20.6526
0.389 18.554 19.5495
0.39 19.0748 12.6559
0.391 16.0765 21.1596
0.392 6.12251 8.05991
0.393 18.8739 18.599
0.394 18.3514 14.2375
0.395 19.777 17.7885
0.396 17.742 16.1921
0.397 25.3612 18.4905
0.398 19.0206 19.9504
0.399 21.2582 18.8308
0.4 18.4632 18.4322
0.401 17.2327 20.4176
0.402 18.9264 11.741
0.403 20.6767 14.7322
0.404 11.9261 21.7446
0.405 16.9 21.0682
0.406 13.7851 22.7556
0.407 22.7968 11.6922
0.408 17.3834 17.3259
0.409 17.1777 20.8596
0.41 21.3255 23.7278
0.411 23.4946 20.1975
0.412 19.8741 19.0411
0.413 5.52467 18.6253
0.414 15.3834 24.9031
0.415 16.4475 15.689
0.416 11.5964 3.62987
0.417 15.0324 14.5653
0.418 14.5708 20.5764
0.419 15.2677 20.3048
0.42 21.1573 18.4532
0.421 12.5495 18.8003
0.422 11.3337 8.43864
0.423 15.3263 20.2071
0.424 21.459 20.0618
0.425 14.3362 11.5583
0.426 28.7557 10.7725
0.427 19.7697 21.9395
0.428 17.9572 19.6897
0.429 8.65809 16.0268
0.43 19.4165 19.2241
0.431 15.6647 5.81853
0.432 20.8661 23.6496
0.433 16.125 22.0784
0.434 19.0682 18.4919
0.435 20.5765 15.4394
0.436 12.7689 22.4678
0.437 18.0644 11.6562
0.438 21.5889 19.7485
0.439 24.2563 21.0879
0.44 20.4996 19.8334
0.441 13.5469 17.297
0.442 18.602 24.6969
0.443 12.6329 16.3304
0.444 22.5974 19.6503
0.445 3.6972 20.8403
0.446 17.3469 19.3781
0.447 8.95346 16.9248
0.448 20.9296 -0.264074
0.449 22.3274 20.0831
0.45 17.5533 17.2626
0.451 22.9806 2.35409
0.452 8.11769 5.87708
0.453 21.0061 22.2503
0.454 23.1006 21.1774
0.455 22.2612 3.81236
0.456 18.4926 -5.9409
0.457 9.99519 16.718
0.458 16.7045 15.5514
0.459 21.8214 22.6346
0.46 19.0664 22.3427
0.461 6.22669 18.8502
0.462 15.3239 24.1233
0.463 1.99661 13.282
0.464 21.1755 16.5756
0.465 22.5266 17.9186
0.466 5.82298 12.0621
0.467 9.55457 21.8729
0.468 17.2165 23.2594
0.469 15.1765 24.5574
0.47 23.0559 22.5322
0.471 14.2456 13.0175
0.472 22.7138 9.13641
0.473 10.6312 8.63614
0.474 20.6554 22.2558
0.475 15.3552 8.15084
0.476 14.4358 22.1634
0.477 23.6001 23.0762
0.478 24.2496 14.0219
0.479 17.5583 23.7279
0.48 11.7008 13.8299
0.481 24.1941 15.129
0.482 14.5305 21.2185
0.483 18.834 15.8718
0.484 16.9416 17.9937
0.485 22.9407 15.8413
0.486 19.4222 14.7131
0.487 15.4214 18.642
0.488 17.5004 6.61938
0.489 21.3566 25.2817
0.49 19.7652 21.6902
0.491 23.4375 22.3493
0.492 17.3107 19.6361
0.493 10.5214 20.9707
0.494 20.3181 18.6281
0.495 2.40752 16.0964
0.496 4.98245 20.8688
0.497 21.5426 7.01018
0.498 27.7326 16.3527
0.499 13.758 25.9193
0.5 13.6226 6.39228
